Designator,Mid X,Mid Y,Layer,Rotation
SH1,21.26mm,14.535mm,T,270
C36,10.025mm,18.85mm,T,90
R37,27.925mm,2.8mm,T,360
R36,30.3mm,25.2mm,T,270
R35,9.075mm,18.8mm,T,90
R34,11.3mm,19.025mm,T,270
D12,3.625mm,5.15mm,T,360
D11,32.2mm,29.85mm,T,180
U10,30.628mm,10.097mm,T,270
U9,15.535mm,8.803mm,T,180
U7,21.325mm,3.95mm,T,360
U6,15.519mm,14.355mm,T,360
U5,23.815mm,11.975mm,T,90
U4,29.157mm,16.966mm,T,270
U3,11.55mm,24.1151mm,T,270
U2,15.05mm,20.825mm,T,270
U1,19.625mm,18.6mm,B,180
SW3,4.675mm,32.125mm,T,180
SW2,32.4843mm,32.85mm,T,360
SW1,3.525mm,2.35mm,T,360
R33,21.5mm,11.025mm,T,270
R32,22.865mm,15.175mm,T,270
R31,10.3mm,9.425mm,T,270
R30,10.3mm,13.25mm,T,90
R29,21.35mm,7.5mm,T,360
R28,10.875mm,14.7mm,T,180
R27,32.375mm,24.625mm,T,360
R26,31.415mm,15.775mm,T,270
R25,28.775mm,5.925mm,T,360
R24,10.85mm,7.975mm,T,360
R23,30.025mm,14.35mm,T,360
R22,10.825mm,10.85mm,T,360
R21,32.375mm,15.775mm,T,270
R20,30.625mm,5.925mm,T,180
R19,19.75mm,12.36mm,T,270
R18,26.825mm,9.525mm,T,180
R17,12.225mm,3.45mm,T,180
R16,27.35mm,10.95mm,T,270
R15,25.85mm,6.525mm,T,360
R14,25.3mm,8mm,T,270
R13,12.225mm,4.475mm,T,180
R12,17.65mm,3.025mm,T,90
R11,17.65mm,4.875mm,T,270
R10,28.775mm,4.925mm,T,360
R9,22.375mm,6.25mm,T,360
R8,28.2mm,14.35mm,T,180
R7,20.325mm,6.25mm,T,360
R6,12.55mm,18.75mm,T,90
R5,25.875mm,20.075mm,T,270
R3,18mm,18.325mm,T,360
R2,16.15mm,18.325mm,T,360
R1,25.45mm,22.535mm,T,360
P1,3.55mm,26.05mm,T,270
L1,15.05mm,24.275mm,T,360
FB1,21.975mm,26.075mm,T,360
D10,9.325mm,22.05mm,T,270
D9,9.375mm,24.88mm,T,90
D8,9.25mm,16.425mm,T,90
D7,9.25mm,11mm,T,270
D6,12.525mm,26.55mm,T,180
D5,9.8mm,4.075mm,T,90
D4,9.8mm,5.675mm,T,270
D3,9.25mm,9mm,T,270
D2,32.475mm,25.975mm,T,0
D1,10.025mm,2.625mm,T,180
C35,11.3mm,13.275mm,T,270
C34,32.365mm,23.6mm,T,180
C33,29.15mm,19.6mm,T,180
C32,12.525mm,21.3151mm,T,270
C31,11.3mm,9.425mm,T,90
C30,27.325mm,8.01mm,T,270
C29,13.675mm,3mm,T,270
C28,13.675mm,4.925mm,T,90
C27,26.275mm,8.015mm,T,270
C26,26.325mm,12.85mm,T,270
C25,27.35mm,12.85mm,T,270
C24,21.5mm,12.925mm,T,90
C23,23.365mm,16.75mm,T,360
C22,24.315mm,14.65mm,T,180
C21,24.315mm,15.7mm,T,180
C20,16.2mm,3.45mm,T,180
C19,14.7mm,3.95mm,T,90
C18,27.325mm,6.075mm,T,90
C17,19.75mm,14.235mm,T,90
C16,16.2mm,4.45mm,T,360
C15,30.665mm,4.925mm,T,180
C14,30.665mm,3.875mm,T,360
C13,31.89mm,14.35mm,T,180
C12,25.025mm,3.775mm,T,270
C11,32.575mm,5.85mm,T,180
C10,19.75mm,16.16mm,T,270
C9,10.85mm,6.975mm,T,180
C8,14.275mm,18.325mm,T,360
C7,11.475mm,21.3151mm,T,270
C6,26.875mm,20.1mm,T,90
C5,17.85mm,21.475mm,T,270
C4,18mm,19.325mm,T,180
C3,26.275mm,25.625mm,T,270
C2,24.975mm,25.4mm,T,270
C1,26.875mm,22.035mm,T,270
